 a man in a suit and tie standing in front of a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_21_811488_L.jpg
 a man wearing a suit and tie standing in front of a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_21_811488_L.jpg
 a man in a suit and tie holding a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_21_811488_L.jpg
 a man wearing a suit and tie standing in front of microphones ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_21_811488_L.jpg
 a man holding a smart phone up to his ear ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_20_811689_L.jpg
 a man holding a smart phone up to his face ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_20_811689_L.jpg
 a man holding a smart phone in front of a screen ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_20_811689_L.jpg
 a black and white photo of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white photo of a clock ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_28_811527_L.jpg
 a black and white photo of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white photo of a black and white picture of a black and white picture of a,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_28_811527_L.jpg
 a black and white photo of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white photo of a,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_28_811527_L.jpg
 a black and white photo of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white photo of a black and white picture of a black and white photo of a,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_28_811527_L.jpg
 a man wearing a hat and a hat ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_24_811477_L.jpg
 a man wearing a hat and a shirt and tie ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_24_811477_L.jpg
 a man wearing a hat and glasses holding a cellphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w2/20200302_24_811477_L.jpg